THM_ID,FLOOR,AISLE,COLUMN,SHELF,LEFT_OR_RIGHT,ARTICLE_CODE,STOCK_AMOUNT
568114280,MZN5,17,8,4,L,77,14
568114280,MZN5,17,8,4,L,68,14
568114280,MZN5,17,8,4,L,75,14
568114280,MZN5,17,8,4,L,66,21
568114280,MZN5,17,8,4,L,71,21
568114280,MZN5,17,8,4,L,73,14
568114280,MZN5,17,8,4,L,76,21
568114281,MZN5,17,8,3,R,66,14
568114281,MZN5,17,8,3,R,64,14
568114281,MZN5,17,8,3,R,68,14
568114281,MZN5,17,8,3,R,69,14
568114281,MZN5,17,8,3,R,75,14
568114281,MZN5,17,8,3,R,76,14
568114281,MZN5,17,8,3,R,71,14
568114281,MZN5,17,8,3,R,77,14
568114281,MZN5,17,8,3,R,73,14
568114281,MZN5,17,8,3,R,74,14
568114281,MZN5,17,8,3,R,65,14
568114281,MZN5,17,8,3,R,67,14
568114282,MZN5,17,7,1,L,64,14
568114282,MZN5,17,7,1,L,66,14
568114282,MZN5,17,7,1,L,75,14
568114282,MZN5,17,7,1,L,77,14
568114282,MZN5,17,7,1,L,67,14
568114282,MZN5,17,7,1,L,74,14
568114282,MZN5,17,7,1,L,76,14
568114282,MZN5,17,7,1,L,65,14
568114282,MZN5,17,7,1,L,71,14
568114282,MZN5,17,7,1,L,73,14
568114282,MZN5,17,7,1,L,68,14
568114282,MZN5,17,7,1,L,69,14
568114283,MZN5,17,7,1,L,75,14
568114283,MZN5,17,7,1,L,77,14
568114283,MZN5,17,7,1,L,65,14
568114283,MZN5,17,7,1,L,66,14
568114283,MZN5,17,7,1,L,69,14
568114283,MZN5,17,7,1,L,67,14
568114283,MZN5,17,7,1,L,68,14
568114283,MZN5,17,7,1,L,74,14
568114283,MZN5,17,7,1,L,64,14
568114283,MZN5,17,7,1,L,76,14
568114283,MZN5,17,7,1,L,73,14
568114283,MZN5,17,7,1,L,71,14
568114284,MZN5,17,8,5,R,67,21
568114284,MZN5,17,8,5,R,74,14
568114284,MZN5,17,8,5,R,77,14
568114284,MZN5,17,8,5,R,64,14
568114284,MZN5,17,8,5,R,65,14
568114284,MZN5,17,8,5,R,69,14
568114284,MZN5,17,8,5,R,73,14
568114284,MZN5,17,8,5,R,68,14
568114284,MZN5,17,8,5,R,75,14
568114284,MZN5,17,8,5,R,76,14
568114284,MZN5,17,8,5,R,71,14
568114284,MZN5,17,8,5,R,66,14
568114285,MZN5,17,9,5,R,66,14
568114285,MZN5,17,9,5,R,69,14
568114285,MZN5,17,9,5,R,67,7
568114285,MZN5,17,9,5,R,71,21
568114285,MZN5,17,9,5,R,77,14
568114285,MZN5,17,9,5,R,64,14
568114285,MZN5,17,9,5,R,68,14
568114285,MZN5,17,9,5,R,65,14
568114285,MZN5,17,9,5,R,73,14
568114285,MZN5,17,9,5,R,76,14
568114285,MZN5,17,9,5,R,74,14
568114285,MZN5,17,9,5,R,75,14
568114646,MZN6,18,9,1,L,65,581
568114653,MZN6,18,10,2,R,68,322
568114657,MZN6,16,5,3,L,79,903
568114658,MZN6,16,8,2,R,79,14
568114658,MZN6,16,8,2,R,80,14
568114660,MZN5,16,3,5,R,75,91
568114660,MZN5,16,3,5,R,76,133
568114661,MZN6,16,5,3,L,73,175
568116402,MZN5,12,2,1,L,66,7
568116402,MZN5,12,2,1,L,71,21
568116402,MZN5,12,2,1,L,74,21
568116402,MZN5,12,2,1,L,64,14
568116403,MZN5,12,2,1,R,64,14
568116403,MZN5,12,2,1,R,75,14
568116403,MZN5,12,2,1,R,74,14
568116403,MZN5,12,2,1,R,66,14
568116403,MZN5,12,2,1,R,71,14
568116404,MZN5,12,2,1,L,66,14
568116404,MZN5,12,2,1,L,75,14
568116404,MZN5,12,2,1,L,64,14
568116404,MZN5,12,2,1,L,74,14
568116404,MZN5,12,2,1,L,71,14
568116606,MZN6,22,3,5,R,65,7
568116606,MZN6,22,3,5,R,66,7
568116606,MZN6,22,3,5,R,70,7
568116606,MZN6,22,3,5,R,64,7
568116606,MZN6,22,3,5,R,74,7
568116606,MZN6,22,3,5,R,71,7
568116606,MZN6,22,3,5,R,69,7
568116606,MZN6,22,3,5,R,76,7
568116607,MZN6,22,3,5,R,68,21
568116607,MZN6,22,3,5,R,72,14
568116607,MZN6,22,3,5,R,73,14
568116607,MZN6,22,3,5,R,77,14
568116607,MZN6,22,3,5,R,64,14
568116607,MZN6,22,3,5,R,69,21
568116607,MZN6,22,3,5,R,76,14
568116607,MZN6,22,3,5,R,67,14
568116607,MZN6,22,3,5,R,75,14
568116607,MZN6,22,3,5,R,65,7
568116607,MZN6,22,3,5,R,66,14
568116607,MZN6,22,3,5,R,70,14
568116607,MZN6,22,3,5,R,71,7
568116607,MZN6,22,3,5,R,74,14
568116608,MZN6,22,2,5,L,72,14
568116608,MZN6,22,2,5,L,74,14
568116608,MZN6,22,2,5,L,77,14
568116608,MZN6,22,2,5,L,64,7
568116608,MZN6,22,2,5,L,70,112
568116608,MZN6,22,2,5,L,73,14
568116608,MZN6,22,2,5,L,76,14
568116608,MZN6,22,2,5,L,69,7
568116608,MZN6,22,2,5,L,75,14
568116608,MZN6,22,2,5,L,65,7
568116608,MZN6,22,2,5,L,71,14
568116609,MZN6,22,2,5,L,75,21
568116609,MZN6,22,2,5,L,71,14
568116609,MZN6,22,2,5,L,73,14
568116609,MZN6,22,2,5,L,72,14
568116609,MZN6,22,2,5,L,74,14
568116609,MZN6,22,2,5,L,76,14
568116609,MZN6,22,2,5,L,77,14
568116610,MZN6,22,3,5,R,64,7
568116610,MZN6,22,3,5,R,76,7
568116610,MZN6,22,3,5,R,77,7
568116610,MZN6,22,3,5,R,66,7
568116610,MZN6,22,3,5,R,71,7
568116610,MZN6,22,3,5,R,74,7
568116611,MZN6,22,3,5,R,64,7
568116611,MZN6,22,3,5,R,75,7
568116611,MZN6,22,3,5,R,70,7
568116611,MZN6,22,3,5,R,66,7
568116611,MZN6,22,3,5,R,73,7
568116611,MZN6,22,3,5,R,67,7
568116611,MZN6,22,3,5,R,69,7
568116611,MZN6,22,3,5,R,74,7
568116611,MZN6,22,3,5,R,65,7
568116611,MZN6,22,3,5,R,71,7
568116611,MZN6,22,3,5,R,77,7
568116611,MZN6,22,3,5,R,68,7
568116611,MZN6,22,3,5,R,76,7
568116612,MZN5,9,4,6,R,77,14
568116612,MZN5,9,4,6,R,71,14
568116612,MZN5,9,4,6,R,76,14
568116612,MZN5,9,4,6,R,66,21
568116612,MZN5,9,4,6,R,65,14
568116612,MZN5,9,4,6,R,64,14
568116612,MZN5,9,4,6,R,68,21
568116612,MZN5,9,4,6,R,67,14
568116612,MZN5,9,4,6,R,69,14
568116612,MZN5,9,4,6,R,73,14
568116613,MZN6,22,3,3,R,70,7
568116613,MZN6,22,3,3,R,74,14
568116613,MZN6,22,3,3,R,68,7
568116613,MZN6,22,3,3,R,72,14
568116613,MZN6,22,3,3,R,76,14
568116613,MZN6,22,3,3,R,64,7
568116613,MZN6,22,3,3,R,65,7
568116613,MZN6,22,3,3,R,66,7
568116613,MZN6,22,3,3,R,71,14
568116613,MZN6,22,3,3,R,73,14
568116613,MZN6,22,3,3,R,75,14
568116613,MZN6,22,3,3,R,77,14
568116614,MZN6,22,3,5,R,72,14
568116614,MZN6,22,3,5,R,66,14
568116614,MZN6,22,3,5,R,67,14
568116614,MZN6,22,3,5,R,69,14
568116614,MZN6,22,3,5,R,71,14
568116614,MZN6,22,3,5,R,73,14
568116614,MZN6,22,3,5,R,75,14
568116614,MZN6,22,3,5,R,64,14
568116614,MZN6,22,3,5,R,65,14
568116614,MZN6,22,3,5,R,74,14
568116614,MZN6,22,3,5,R,70,14
568116614,MZN6,22,3,5,R,77,14
568116614,MZN6,22,3,5,R,68,14
568116614,MZN6,22,3,5,R,76,14
568116615,MZN6,22,3,4,L,65,14
568116615,MZN6,22,3,4,L,73,14
568116615,MZN6,22,3,4,L,77,14
568116615,MZN6,22,3,4,L,69,14
568116615,MZN6,22,3,4,L,76,14
568116615,MZN6,22,3,4,L,64,14
568116615,MZN6,22,3,4,L,68,14
568116615,MZN6,22,3,4,L,71,14
568116615,MZN6,22,3,4,L,74,14
568116615,MZN6,22,3,4,L,66,14
568116615,MZN6,22,3,4,L,67,14
568116615,MZN6,22,3,4,L,70,14
568116615,MZN6,22,3,4,L,75,14
568116616,MZN6,22,3,5,L,65,14
568116616,MZN6,22,3,5,L,66,14
568116616,MZN6,22,3,5,L,67,14
568116616,MZN6,22,3,5,L,69,14
568116616,MZN6,22,3,5,L,77,14
568116616,MZN6,22,3,5,L,74,14
568116616,MZN6,22,3,5,L,68,14
568116616,MZN6,22,3,5,L,75,14
568116616,MZN6,22,3,5,L,64,14
568116616,MZN6,22,3,5,L,72,14
568116616,MZN6,22,3,5,L,73,14
568116616,MZN6,22,3,5,L,70,14
568116616,MZN6,22,3,5,L,71,14
568116616,MZN6,22,3,5,L,76,14
568116617,MZN5,9,4,6,R,67,14
568116617,MZN5,9,4,6,R,73,14
568116617,MZN5,9,4,6,R,76,7
568116617,MZN5,9,4,6,R,65,14
568116617,MZN5,9,4,6,R,71,14
568116617,MZN5,9,4,6,R,64,14
568116617,MZN5,9,4,6,R,66,7
568116617,MZN5,9,4,6,R,68,7
568116618,MZN5,9,4,2,L,66,14
568116618,MZN5,9,4,2,L,71,21
568116618,MZN5,9,4,2,L,64,14
568116619,MZN5,9,4,2,R,69,7
568116619,MZN5,9,4,2,R,64,14
568116619,MZN5,9,4,2,R,66,14
568116619,MZN5,9,4,2,R,67,7
568116619,MZN5,9,4,2,R,68,14
568116619,MZN5,9,4,2,R,73,7
568116619,MZN5,9,4,2,R,71,14
568116620,MZN5,9,4,5,R,73,14
568116620,MZN5,9,4,5,R,69,14
568116620,MZN5,9,4,5,R,71,14
568116620,MZN5,9,4,5,R,66,14
568116620,MZN5,9,4,5,R,64,14
568116620,MZN5,9,4,5,R,65,14
568116620,MZN5,9,4,5,R,67,14
568116621,MZN5,9,4,6,R,66,21
568116621,MZN5,9,4,6,R,68,14
568116621,MZN5,9,4,6,R,69,7
568116621,MZN5,9,4,6,R,71,14
568116621,MZN5,9,4,6,R,77,14
568116621,MZN5,9,4,6,R,73,14
568116621,MZN5,9,4,6,R,67,7
568116621,MZN5,9,4,6,R,64,14
568116621,MZN5,9,4,6,R,65,14
568116621,MZN5,9,4,6,R,76,28
568116625,MZN5,9,4,6,R,75,14
568116625,MZN5,9,4,6,R,65,14
568116625,MZN5,9,4,6,R,66,14
568116625,MZN5,9,4,6,R,68,14
568116625,MZN5,9,4,6,R,71,14
568116625,MZN5,9,4,6,R,74,14
568116625,MZN5,9,4,6,R,64,14
568116625,MZN5,9,4,6,R,67,14
568116625,MZN5,9,4,6,R,77,14
568116625,MZN5,9,4,6,R,73,14
568116625,MZN5,9,4,6,R,76,14
568116625,MZN5,9,4,6,R,69,14
568116626,MZN5,9,4,6,R,66,14
568116626,MZN5,9,4,6,R,68,14
568116626,MZN5,9,4,6,R,74,14
568116626,MZN5,9,4,6,R,64,14
568116626,MZN5,9,4,6,R,65,14
568116626,MZN5,9,4,6,R,69,14
568116626,MZN5,9,4,6,R,71,14
568116626,MZN5,9,4,6,R,73,14
568116626,MZN5,9,4,6,R,75,7
568116626,MZN5,9,4,6,R,67,14
568116626,MZN5,9,4,6,R,76,14
568116626,MZN5,9,4,6,R,77,14
568119372,MZN6,21,15,1,L,56,98
568119374,MZN6,21,15,4,R,56,70
568119417,MZN6,21,15,3,L,54,154
568119419,MZN6,21,15,3,L,55,175
568119422,MZN6,21,11,4,L,54,168
568119423,MZN6,21,15,3,L,55,182
568119424,MZN6,21,15,4,R,56,182
568119425,MZN6,21,11,4,L,55,182
568123615,MZN4,14,4,6,R,85,238
568123619,MZN4,14,4,5,R,85,77
568123621,MZN4,14,4,5,R,85,301
568123622,MZN4,14,4,7,R,85,217
568123624,MZN4,14,4,5,R,85,315
568129387,MZN6,22,12,4,L,10,15
568129387,MZN6,22,12,4,L,11,15
568129388,MZN6,22,12,3,L,13,18
568129389,MZN6,22,12,2,L,8,8
568129389,MZN6,22,12,2,L,11,14
568129389,MZN6,22,12,2,L,9,5
568129390,MZN6,22,12,3,L,13,13
568129390,MZN6,22,12,3,L,23,17
568129391,MZN6,19,4,3,L,12,2
568129393,MZN6,19,6,3,L,22,22
568129393,MZN6,19,6,3,L,23,9
568129395,MZN6,19,3,1,R,11,34
568129395,MZN6,19,3,1,R,12,12
568129396,MZN6,22,11,2,R,9,30
568129397,MZN6,19,6,1,L,9,46
568129398,MZN6,19,4,3,L,10,46
568129400,MZN5,12,13,5,R,12,9
568129401,MZN6,19,1,1,R,18,46
568129402,MZN6,19,3,3,L,12,46
568129403,MZN6,19,2,3,L,18,46
568129404,MZN6,19,4,1,R,9,30
568129404,MZN6,19,4,1,R,10,16
568129405,MZN6,19,1,2,R,13,1
568129405,MZN6,19,1,2,R,18,42
568129406,MZN6,19,2,3,L,11,46
568129407,MZN6,19,1,2,R,20,35
568129408,MZN6,19,2,3,L,12,45
568129410,MZN6,19,1,3,L,11,46
568129411,MZN6,14,17,2,L,22,45
568129413,MZN6,12,17,2,L,21,45
568129414,MZN6,12,17,2,L,20,45
568129419,MZN6,14,17,4,L,21,45
568129420,MZN6,12,16,2,L,10,45
568129421,MZN6,14,17,4,L,21,45
568129422,MZN6,14,17,1,L,22,45
568129423,MZN6,12,16,3,L,22,45
568129424,MZN6,14,17,3,L,20,45
568129425,MZN6,14,17,3,L,10,46
568129426,MZN6,14,16,1,L,19,45
568129427,MZN6,12,17,1,L,19,26
568129427,MZN6,12,17,1,L,18,3
568129428,MZN6,14,17,1,L,21,45
568129429,MZN6,12,16,3,L,19,46
568129430,MZN6,12,16,1,L,20,45
568129431,MZN6,14,16,1,L,19,45
568129432,MZN6,1,11,1,L,21,43
568129433,MZN6,1,11,1,L,8,45
568129434,MZN6,1,15,5,R,20,41
568129436,MZN6,3,11,4,R,21,19
568129436,MZN6,3,11,4,R,20,17
568129437,MZN6,3,12,1,L,19,11
568129437,MZN6,3,12,1,L,20,23
568129438,MZN6,3,12,2,L,20,8
568129438,MZN6,3,12,2,L,19,28
568129446,MZN6,3,12,4,R,20,27
568129446,MZN6,3,12,4,R,22,11
568129447,MZN6,1,15,5,R,20,40
568129448,MZN6,1,14,4,L,21,29
568131735,MZN6,20,10,3,L,85,21
568133503,MZN5,3,6,5,L,26,14
568134470,MZN4,15,8,5,R,36,21
568134472,MZN4,15,8,5,R,35,70
568134473,MZN4,8,15,6,R,35,84
568134474,MZN4,8,15,7,R,35,105
568134508,MZN4,15,8,4,R,35,98
568134509,MZN4,15,8,5,R,35,70
568134510,MZN4,15,8,3,R,35,14
568134510,MZN4,15,8,3,R,36,70
568134511,MZN4,16,8,7,R,35,98
568134512,MZN4,16,8,7,R,35,91
568134513,MZN4,16,8,7,R,36,42
568134513,MZN4,16,8,7,R,35,49
568134830,MZN4,15,8,6,R,36,84
568134831,MZN4,8,15,2,R,36,77
568134832,MZN4,15,8,5,R,35,63
568134833,MZN4,16,8,7,R,36,84
568134834,MZN4,15,8,4,R,36,70
568134835,MZN4,16,8,7,R,36,84
568150258,MZN6,8,13,1,R,10,1
568150259,MZN6,8,13,5,L,9,1
568170383,MZN5,9,15,1,L,85,7
568173204,MZN6,15,14,4,R,62,5
568173204,MZN6,15,14,4,R,61,9
568173207,MZN6,15,15,2,R,60,20
568174071,MZN5,5,4,3,R,59,11
568174071,MZN5,5,4,3,R,60,9
568174072,MZN5,5,4,3,R,59,20
568174073,MZN5,5,5,4,R,60,20
568174074,MZN5,5,5,2,R,60,20
568174075,MZN5,5,4,3,R,60,4
568174075,MZN5,5,4,3,R,61,6
568174076,MZN5,5,4,3,R,60,20
568174077,MZN5,5,5,4,R,60,20
568174078,MZN5,5,4,1,R,61,20
568174079,MZN5,5,4,1,R,60,20
568174080,MZN5,5,5,4,R,61,20
568174081,MZN5,5,4,1,R,61,20
568174082,MZN5,5,4,1,R,60,20
568174083,MZN5,5,5,4,R,61,20
568174084,MZN5,5,5,4,R,60,20
568174085,MZN5,5,5,2,R,62,20
568174086,MZN5,5,5,4,R,61,20
568174087,MZN5,4,6,2,L,60,20
568174088,MZN5,4,5,3,R,60,20
568174089,MZN5,4,6,4,R,60,20
568174090,MZN5,4,5,2,R,61,20
568174091,MZN5,4,6,4,L,61,19
568174092,MZN5,4,6,4,L,61,20
568174093,MZN5,4,10,4,L,60,17
568174094,MZN5,4,5,3,R,60,20
568174095,MZN5,4,8,4,R,61,11
568174095,MZN5,4,8,4,R,62,7
568174096,MZN5,4,7,4,R,63,16
568174097,MZN5,4,10,2,L,62,19
568174098,MZN5,4,10,4,L,61,20
568174100,MZN5,4,6,4,L,61,20
568174101,MZN5,4,9,1,R,61,20
568174105,MZN5,4,5,3,R,62,20
568174106,MZN5,4,6,4,L,62,3
568174106,MZN5,4,6,4,L,61,12
568175577,MZN5,5,4,4,R,59,20
568175578,MZN5,5,4,3,R,59,18
568175579,MZN5,5,4,4,R,63,6
568175580,MZN5,5,4,4,R,62,12
568175581,MZN5,5,4,4,R,60,20
568175582,MZN5,5,4,3,R,62,4
568175582,MZN5,5,4,3,R,63,7
568175583,MZN5,5,4,4,R,59,20
568175584,MZN5,5,4,4,R,59,6
568175584,MZN5,5,4,4,R,60,12
568177965,MZN6,15,14,3,L,61,9
568177966,MZN6,15,14,3,L,61,5
568177966,MZN6,15,14,3,L,62,2
568177966,MZN6,15,14,3,L,63,5
568177966,MZN6,15,14,3,L,60,1
568177967,MZN6,15,14,3,L,60,20
568177968,MZN6,15,14,3,L,60,14
568177968,MZN6,15,14,3,L,59,2
568177969,MZN6,15,14,3,L,60,20
568177970,MZN6,15,14,3,L,60,20
568178143,MZN5,4,10,4,R,62,20
568178144,MZN5,4,10,3,R,62,2
568178145,MZN5,3,17,3,L,61,20
568178146,MZN5,3,18,1,L,63,20
568178147,MZN5,3,18,2,L,61,20
568178148,MZN5,3,18,3,L,61,20
568178149,MZN5,3,19,4,L,62,20
568178150,MZN5,3,19,4,L,61,20
568178151,MZN5,3,18,2,L,62,20
568178152,MZN5,3,18,1,L,61,20
568178153,MZN5,3,9,4,R,62,20
568178154,MZN5,3,10,4,L,62,8
568178154,MZN5,3,10,4,L,63,3
568178156,MZN5,3,9,3,R,62,3
568178157,MZN5,3,10,2,L,61,20
568178158,MZN5,3,10,4,L,61,20
568178159,MZN5,3,9,2,R,61,20
568178160,MZN5,3,9,2,R,61,10
568178161,MZN5,3,10,4,L,60,18
568178162,MZN5,3,9,2,R,61,20
568178163,MZN5,3,9,4,R,62,19
568178164,MZN5,3,10,4,L,62,20
568178165,MZN5,3,9,4,R,61,20
568178166,MZN5,3,10,2,L,63,11
568190615,MZN5,4,14,3,R,81,308
568190618,MZN5,4,14,2,R,81,7
568190620,MZN5,4,14,2,R,81,385
568194668,MZN4,27,17,4,R,87,7
568198299,MZN4,23,10,3,R,54,7
568198326,MZN4,23,10,7,R,17,1
568198338,MZN6,13,17,4,L,28,7
568198988,MZN4,11,9,7,R,32,7
568212688,MZN4,18,3,7,L,4,1
568213001,MZN5,8,6,4,R,58,7
568213890,MZN5,12,2,5,L,38,7
4197180731,MZN5,26,7,6,R,1,16